サービスID,サービス名,カテゴリ,サブカテゴリ,ツールタイプ,価格,公式URL,対応TOEICレベル,対応課題_基礎重視,対応課題_会話実践,学習の流れ,推奨スケジュール,推奨学習時間,学習のポイント,特徴タグ,学習スタイル,対応言語
EN_TOEIC_001,スタディサプリ ENGLISH TOEIC,英語基礎重視,TOEIC対策,アプリ,月額3278円,https://eigosapuri.jp/,〜450点・451〜600点・601〜730点,基礎ルール・問題傾向・長文対策,,1.基礎文法の復習→2.頻出単語の暗記→3.模擬問題演習→4.弱点強化,毎日30分×3ヶ月,1日30分,隙間時間を有効活用・継続が重要,スマホ学習・AI学習・進捗管理,自主学習,英語
EN_TOEIC_002,abceed,英語基礎重視,TOEIC対策,アプリ,月額1650円,https://www.abceed.com/,〜450点・451〜600点・601〜730点,基礎ルール・問題傾向・長文対策,,1.レベル診断→2.AI推奨問題→3.弱点分析→4.集中学習,毎日25分×4ヶ月,1日25分,AI予測スコアで目標設定・豊富な問題集活用,AI予測スコア・豊富な問題集・学習分析,自主学習,英語
EN_TOEIC_003,TOEIC完全攻略講座,英語基礎重視,TOEIC対策,レッスン,月額8800円,https://example-toeic.com/,451〜600点・601〜730点・730点〜,問題傾向・長文対策・スピード正確性,,1.診断テスト→2.パート別対策→3.模擬テスト→4.総合演習,週2回×6ヶ月,週150分,講師による個別指導・実践的な解答技術,講師指導・パート別対策・模擬テスト,講師指導,英語
EN_TOEIC_004,PROGRIT TOEIC,英語基礎重視,TOEIC対策,コーチング,3ヶ月599500円,https://www.progrit.co.jp/,601〜730点・730点〜,長文対策・スピード正確性・リーディング対策,,1.現状分析→2.個別カリキュラム→3.毎日学習→4.週次面談,毎日3時間×3ヶ月,1日180分,専属コンサルタント・短期集中・科学的アプローチ,短期集中・専属コンサルタント・科学的学習,コーチング,英語
EN_CONV_001,DMM英会話,英語会話実践重視,会話練習,レッスン,月額6480円,https://eikaiwa.dmm.com/,300-600・600-750,音声基礎・音声中級・文章基礎・文章中級,音声基礎・音声中級・文章基礎・文章中級,1.基礎会話→2.トピック練習→3.フリートーク→4.実践会話,毎日25分×継続,1日25分,多国籍講師・24時間対応・豊富な教材,多国籍講師・24時間対応・豊富な教材,講師指導,英語
EN_CONV_002,Native Camp,英語会話実践重視,会話練習,レッスン,月額6480円,https://nativecamp.net/,300-600・600-750・750+,音声基礎・音声中級・音声上級・文章基礎・文章中級・文章上級,音声基礎・音声中級・音声上級・文章基礎・文章中級・文章上級,1.レベルチェック→2.基礎練習→3.実践会話→4.応用練習,レッスン受け放題×継続,無制限,予約不要・カランメソッド対応・豊富なコンテンツ,予約不要・カランメソッド・レッスン受け放題,自習型,英語
EN_CONV_003,SHADOTEN,英語会話実践重視,発音矯正,添削サービス,月額21780円,https://www.shadoten.com/,600-750・750+,音声中級・音声上級,音声中級・音声上級,1.シャドーイング基礎→2.音声分析→3.プロ添削→4.実践練習,毎日30分×3ヶ月,1日30分,プロ添削・音声分析・集中トレーニング,プロ添削・音声分析・シャドーイング特化,自習型,英語
EN_CONV_004,Cambly,英語会話実践重可,会話練習,レッスン,月額12790円,https://www.cambly.com/,600-750・750+,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,音声中級・音声上級・文章中級・文章上級・語彙中級・語彙上級,1.ネイティブ会話→2.発音練習→3.表現力強化→4.実践応用,週3回×継続,週90分,ネイティブ講師・録画機能・柔軟スケジュール,ネイティブ講師・録画機能・柔軟予約,講師指導,英語
CN_001,超速中国語,多言語,中国語,アプリ,月額1980円,https://chousoku-chinese.com/,,,音声基礎・音声中級・文章基礎・語彙基礎・語彙中級,1.ピンイン学習→2.基本単語→3.基本文法→4.会話練習,毎日20分×6ヶ月,1日20分,ゲーム感覚・効率的記憶・段階的学習,ゲーム感覚・効率学習・音声認識,自主学習,中国語
CN_002,天天中文,多言語,中国語,レッスン,月額7800円,https://tentenchugoku.com/,,,音声基礎・音声中級・文章基礎・文章中級・語彙基礎・語彙中級,1.発音基礎→2.基本会話→3.文法学習→4.実践練習,週2回×継続,週100分,ネイティブ講師・実践的会話・文化理解,ネイティブ講師・実践会話・文化学習,講師指導,中国語
